instance,seed,cutoff,size,ref,rel_err,valid,wall_time
large6,14,60,980,980,0.0000,1,61.0379
large6,15,60,980,980,0.0000,1,60.3527
large6,16,60,980,980,0.0000,1,60.6327
large6,17,60,980,980,0.0000,1,60.8408
large6,18,60,980,980,0.0000,1,60.4002
large6,19,60,980,980,0.0000,1,60.8894
large6,20,60,980,980,0.0000,1,60.1548
large6,21,60,980,980,0.0000,1,60.9390
large6,22,60,980,980,0.0000,1,60.1137
large6,23,60,980,980,0.0000,1,61.2050
large6,24,60,980,980,0.0000,1,60.3373
large6,25,60,980,980,0.0000,1,61.2184
large6,26,60,980,980,0.0000,1,61.0229
large6,27,60,980,980,0.0000,1,62.4720
large6,28,60,980,980,0.0000,1,62.1439
large6,29,60,980,980,0.0000,1,60.7875
large6,30,60,980,980,0.0000,1,61.8896
large6,31,60,980,980,0.0000,1,60.3847
large6,32,60,980,980,0.0000,1,60.2425
large6,33,60,980,980,0.0000,1,60.3434
large6,34,60,980,980,0.0000,1,60.3627
large6,35,60,980,980,0.0000,1,60.7188
large6,36,60,980,980,0.0000,1,60.7404
large6,37,60,980,980,0.0000,1,60.1892
large6,38,60,980,980,0.0000,1,60.8653
large6,39,60,980,980,0.0000,1,60.1785
large6,40,60,980,980,0.0000,1,60.3827
large6,41,60,980,980,0.0000,1,60.1332
large6,42,60,980,980,0.0000,1,60.6344
large6,43,60,980,980,0.0000,1,60.3757
large6,44,60,980,980,0.0000,1,60.4810
large6,45,60,980,980,0.0000,1,60.0809
large6,46,60,980,980,0.0000,1,60.2116
large6,47,60,980,980,0.0000,1,60.5231
large6,48,60,980,980,0.0000,1,60.8573
large6,49,60,980,980,0.0000,1,60.9141
large6,50,60,980,980,0.0000,1,60.2792
large7,1,60,1928,1917,0.0057,1,60.1278
large7,2,60,1929,1917,0.0063,1,60.2046
large7,3,60,1930,1917,0.0068,1,60.1189
large7,4,60,1926,1917,0.0047,1,60.1894
large7,5,60,1930,1917,0.0068,1,60.0375
large7,6,60,1929,1917,0.0063,1,60.2018
